sequence_index,task_id,task_name,process_id,process_name,operated_objects,operated_object_names,task_obb_center,required_resources,generation_rule,inference_explanation
153,Task_安装紧固件_SubAssembly_1_28_5536C11004G41_5536C11004G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_SubAssembly_1_28_5536C11004G41_5536C11004G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,SubAssembly_1_28_5536C11004G41_5536C11004G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11004G41 右侧1号夹芯板;5536C12000G42 辅助梁组件,36.610506052;3.424096583;-0.104790298,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
154,Task_安装紧固件_SubAssembly_1_27_5536C11003G41_5536C11003G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,安装紧固件_SubAssembly_1_27_5536C11003G41_5536C11003G41_SubAssembly_1_33_5536C12000G42_5536C12000G42_1,PROC_安装紧固件,安装紧固件,SubAssembly_1_27_5536C11003G41_5536C11003G41;SubAssembly_1_33_5536C12000G42_5536C12000G42_1,5536C11003G41 左侧1号夹芯板;5536C12000G42 辅助梁组件,36.610506052;3.424096583;0.104817114,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
155,Task_安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_4_5536C10105G71_5536C10105G71_1,安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_4_5536C10105G71_5536C10105G71_1,PROC_安装紧固件,安装紧固件,Part_1_2_5536C10101G71_5536C10101G71_1;Part_1_4_5536C10105G71_5536C10105G71_1,5536C10101G71 1号肋;5536C10105G71 1号肋,35.713096516;2.089104441;-0.080674825,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
156,Task_安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_3_5536C10103G71_5536C10103G71_1,安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_Part_1_3_5536C10103G71_5536C10103G71_1,PROC_安装紧固件,安装紧固件,Part_1_2_5536C10101G71_5536C10101G71_1;Part_1_3_5536C10103G71_5536C10103G71_1,5536C10101G71 1号肋;5536C10103G71 1号肋角材,35.954420881;2.099370424;0.028345085,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
157,Task_安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_安装紧固件,安装紧固件,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C10101G71 1号肋;5536C11003G41 左侧1号夹芯板,35.796497102;2.211340148;0.126898791,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
158,Task_安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_安装紧固件,安装紧固件,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C10101G71 1号肋;5536C11002G41 右侧下封面板,35.645042248;2.03901128;-0.081313344,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
159,Task_安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,安装紧固件_Part_1_2_5536C10101G71_5536C10101G71_1_SubAssembly_1_25_5536C11001G41_5536C11001G41_1,PROC_安装紧固件,安装紧固件,Part_1_2_5536C10101G71_5536C10101G71_1;SubAssembly_1_25_5536C11001G41_5536C11001G41_1,5536C10101G71 1号肋;5536C11001G41 左侧下封面板,35.645036699;2.039012372;0.125503381,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
160,Task_安装紧固件_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,安装紧固件_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_安装紧固件,安装紧固件,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C10105G71 1号肋;5536C11004G41 右侧1号夹芯板,35.811778947;2.213474612;-0.207573616,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
161,Task_安装紧固件_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,安装紧固件_Part_1_4_5536C10105G71_5536C10105G71_1_SubAssembly_1_26_5536C11002G41_5536C11002G41_1,PROC_安装紧固件,安装紧固件,Part_1_4_5536C10105G71_5536C10105G71_1;SubAssembly_1_26_5536C11002G41_5536C11002G41_1,5536C10105G71 1号肋;5536C11002G41 右侧下封面板,35.660324093;2.041145743;-0.206178338,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
162,Task_安装紧固件_Part_1_5_5536C10203G71_5536C10203G71_1_Part_1_6_5536C10211G71_5536C10211G71_1,安装紧固件_Part_1_5_5536C10203G71_5536C10203G71_1_Part_1_6_5536C10211G71_5536C10211G71_1,PROC_安装紧固件,安装紧固件,Part_1_5_5536C10203G71_5536C10203G71_1;Part_1_6_5536C10211G71_5536C10211G71_1,5536C10203G71 2号肋角材;5536C10211G71 2号肋,36.271738528;2.451251207;-0.002666087,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
163,Task_安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_8_5536C10214G70_5536C10214G70_1,安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_8_5536C10214G70_5536C10214G70_1,PROC_安装紧固件,安装紧固件,Part_1_6_5536C10211G71_5536C10211G71_1;Part_1_8_5536C10214G70_5536C10214G70_1,5536C10211G71 2号肋;5536C10214G70 2号肋缘条,36.156678779;2.543088688;-0.104388642,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
164,Task_安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_7_5536C10213G70_5536C10213G70_1,安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_Part_1_7_5536C10213G70_5536C10213G70_1,PROC_安装紧固件,安装紧固件,Part_1_6_5536C10211G71_5536C10211G71_1;Part_1_7_5536C10213G70_5536C10213G70_1,5536C10211G71 2号肋;5536C10213G70 2号肋缘条,36.156678779;2.543088688;0.099056469,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
165,Task_安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_安装紧固件,安装紧固件,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C10211G71 2号肋;5536C11004G41 右侧1号夹芯板,36.024894363;2.436349462;-0.107469793,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
166,Task_安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,安装紧固件_Part_1_6_5536C10211G71_5536C10211G71_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_安装紧固件,安装紧固件,Part_1_6_5536C10211G71_5536C10211G71_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C10211G71 2号肋;5536C11003G41 左侧1号夹芯板,36.024894363;2.436349462;0.102137619,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
167,Task_安装紧固件_Part_1_34_5536C14001G71_5536C14001G70_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,安装紧固件_Part_1_34_5536C14001G71_5536C14001G70_1_SubAssembly_1_27_5536C11003G41_5536C11003G41,PROC_安装紧固件,安装紧固件,Part_1_34_5536C14001G71_5536C14001G70_1;SubAssembly_1_27_5536C11003G41_5536C11003G41,5536C14001G71 1号连接带板;5536C11003G41 左侧1号夹芯板,36.054323824;2.297084079;0.229590986,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
168,Task_安装紧固件_Part_1_35_5536C14002G71_5536C14002G70_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,安装紧固件_Part_1_35_5536C14002G71_5536C14002G70_1_SubAssembly_1_28_5536C11004G41_5536C11004G41,PROC_安装紧固件,安装紧固件,Part_1_35_5536C14002G71_5536C14002G70_1;SubAssembly_1_28_5536C11004G41_5536C11004G41,5536C14002G71 1号连接带板;5536C11004G41 右侧1号夹芯板,36.054323824;2.297084079;-0.229590986,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
169,Task_安装紧固件_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,安装紧固件_Part_1_8_5536C10214G70_5536C10214G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_安装紧固件,安装紧固件,Part_1_8_5536C10214G70_5536C10214G70_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10214G70 2号肋缘条;5536C11006G41 右侧2号夹芯板,36.557561349;3.09199453;-0.192723267,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
170,Task_安装紧固件_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,安装紧固件_Part_1_7_5536C10213G70_5536C10213G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_安装紧固件,安装紧固件,Part_1_7_5536C10213G70_5536C10213G70_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10213G70 2号肋缘条;5536C11005G41 左侧2号夹芯板,36.557561349;3.09199453;0.192723267,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
171,Task_安装紧固件_Part_1_37_5536C14004G71_5536C14004G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,安装紧固件_Part_1_37_5536C14004G71_5536C14004G70_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_安装紧固件,安装紧固件,Part_1_37_5536C14004G71_5536C14004G70_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C14004G71 2号连接带板;5536C11006G41 右侧2号夹芯板,36.868259931;3.303324869;-0.204421779,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
172,Task_安装紧固件_Part_1_36_5536C14003G71_5536C14003G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,安装紧固件_Part_1_36_5536C14003G71_5536C14003G70_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_安装紧固件,安装紧固件,Part_1_36_5536C14003G71_5536C14003G70_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C14003G71 2号连接带板;5536C11005G41 左侧2号夹芯板,36.868259931;3.303324869;0.204421779,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
173,Task_安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_9_5536C10303G71_5536C10303G71_1,安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_9_5536C10303G71_5536C10303G71_1,PROC_安装紧固件,安装紧固件,Part_1_10_5536C10311G72_5536C10311G72_1;Part_1_9_5536C10303G71_5536C10303G71_1,5536C10311G72 3号肋;5536C10303G71 3号肋角材,37.136515215;3.621089155;-0.00052399,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
174,Task_安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_11_5536C10313G70_5536C10313G70_1,安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_11_5536C10313G70_5536C10313G70_1,PROC_安装紧固件,安装紧固件,Part_1_10_5536C10311G72_5536C10311G72_1;Part_1_11_5536C10313G70_5536C10313G70_1,5536C10311G72 3号肋;5536C10313G70 角片,36.922094975;3.777036431;0.047394675,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
175,Task_安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_12_5536C10314G70_5536C10314G70_1,安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_Part_1_12_5536C10314G70_5536C10314G70_1,PROC_安装紧固件,安装紧固件,Part_1_10_5536C10311G72_5536C10311G72_1;Part_1_12_5536C10314G70_5536C10314G70_1,5536C10311G72 3号肋;5536C10314G70 角片,36.922094975;3.777036431;-0.048442655,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
176,Task_安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_安装紧固件,安装紧固件,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10311G72 3号肋;5536C11006G41 右侧2号夹芯板,36.999522608;3.662096389;-0.091524702,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
177,Task_安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,安装紧固件_Part_1_10_5536C10311G72_5536C10311G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_安装紧固件,安装紧固件,Part_1_10_5536C10311G72_5536C10311G72_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10311G72 3号肋;5536C11005G41 左侧2号夹芯板,36.999522608;3.662096389;0.090476722,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
178,Task_安装紧固件_Part_1_39_5536C14006G71_5536C14006G71_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,安装紧固件_Part_1_39_5536C14006G71_5536C14006G71_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_安装紧固件,安装紧固件,Part_1_39_5536C14006G71_5536C14006G71_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C14006G71 3号连接带板;5536C11006G41 右侧2号夹芯板,37.280209275;3.878635571;-0.185932075,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
179,Task_安装紧固件_Part_1_38_5536C14005G71_5536C14005G71_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,安装紧固件_Part_1_38_5536C14005G71_5536C14005G71_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_安装紧固件,安装紧固件,Part_1_38_5536C14005G71_5536C14005G71_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C14005G71 3号连接带板;5536C11005G41 左侧2号夹芯板,37.280209275;3.878635571;0.185932075,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
180,Task_安装紧固件_Part_1_13_5536C10403G71_5536C10403G71_1_Part_1_14_5536C10411G72_5536C10411G72_1,安装紧固件_Part_1_13_5536C10403G71_5536C10403G71_1_Part_1_14_5536C10411G72_5536C10411G72_1,PROC_安装紧固件,安装紧固件,Part_1_13_5536C10403G71_5536C10403G71_1;Part_1_14_5536C10411G72_5536C10411G72_1,5536C10403G71 4号肋角材;5536C10411G72 4号肋,37.955662888;4.749741594;-0.000250759,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
181,Task_安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_16_5536C10414G72_5536C10414G72_1,安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_16_5536C10414G72_5536C10414G72_1,PROC_安装紧固件,安装紧固件,Part_1_14_5536C10411G72_5536C10411G72_1;Part_1_16_5536C10414G72_5536C10414G72_1,5536C10411G72 4号肋;5536C10414G72 4号肋缘条,37.875288475;4.817233282;-0.07010992,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
182,Task_安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_15_5536C10413G72_5536C10413G72_1,安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_Part_1_15_5536C10413G72_5536C10413G72_1,PROC_安装紧固件,安装紧固件,Part_1_14_5536C10411G72_5536C10411G72_1;Part_1_15_5536C10413G72_5536C10413G72_1,5536C10411G72 4号肋;5536C10413G72 4号肋缘条,37.875288475;4.817233282;0.069608402,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
183,Task_安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_30_5536C11006G41_5536C11006G41,PROC_安装紧固件,安装紧固件,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_30_5536C11006G41_5536C11006G41,5536C10411G72 4号肋;5536C11006G41 右侧2号夹芯板,37.415113917;4.222310264;-0.09125147,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
184,Task_安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,安装紧固件_Part_1_14_5536C10411G72_5536C10411G72_1_SubAssembly_1_29_5536C11005G41_5536C11005G41,PROC_安装紧固件,安装紧固件,Part_1_14_5536C10411G72_5536C10411G72_1;SubAssembly_1_29_5536C11005G41_5536C11005G41,5536C10411G72 4号肋;5536C11005G41 左侧2号夹芯板,37.415113917;4.222310264;0.090749953,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
185,Task_安装紧固件_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,安装紧固件_Part_1_16_5536C10414G72_5536C10414G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_安装紧固件,安装紧固件,Part_1_16_5536C10414G72_5536C10414G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10414G72 4号肋缘条;5536C11008G41 右侧3号夹芯板,38.342537817;5.454963232;-0.126257488,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
186,Task_安装紧固件_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,安装紧固件_Part_1_15_5536C10413G72_5536C10413G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_安装紧固件,安装紧固件,Part_1_15_5536C10413G72_5536C10413G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10413G72 4号肋缘条;5536C11007G41 左侧3号夹芯板,38.342537817;5.454963232;0.126257488,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
187,Task_安装紧固件_Part_1_41_5536C14008G71_5536C14008G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,安装紧固件_Part_1_41_5536C14008G71_5536C14008G71_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_安装紧固件,安装紧固件,Part_1_41_5536C14008G71_5536C14008G71_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C14008G71 4号连接带板;5536C11008G41 右侧3号夹芯板,38.565896034;5.610310394;-0.134746097,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
188,Task_安装紧固件_Part_1_40_5536C14007G71_5536C14007G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,安装紧固件_Part_1_40_5536C14007G71_5536C14007G71_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_安装紧固件,安装紧固件,Part_1_40_5536C14007G71_5536C14007G71_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C14007G71 4号连接带板;5536C11007G41 左侧3号夹芯板,38.565896034;5.610310395;0.134746097,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
189,Task_安装紧固件_Part_1_17_5536C10503G71_5536C10503G70_1_Part_1_18_5536C10511G72_5536C10511G72_1,安装紧固件_Part_1_17_5536C10503G71_5536C10503G70_1_Part_1_18_5536C10511G72_5536C10511G72_1,PROC_安装紧固件,安装紧固件,Part_1_17_5536C10503G71_5536C10503G70_1;Part_1_18_5536C10511G72_5536C10511G72_1,5536C10503G71 5号肋角材;5536C10511G72 5号肋,38.57307566;5.589433914;-2.552e-06,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
190,Task_安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_19_5536C10513G70_5536C10513G70_1,安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_19_5536C10513G70_5536C10513G70_1,PROC_安装紧固件,安装紧固件,Part_1_18_5536C10511G72_5536C10511G72_1;Part_1_19_5536C10513G70_5536C10513G70_1,5536C10511G72 5号肋;5536C10513G70 角片,38.418336098;5.704773088;0.027988035,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
191,Task_安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_20_5536C10514G70_5536C10514G70_1,安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_Part_1_20_5536C10514G70_5536C10514G70_1,PROC_安装紧固件,安装紧固件,Part_1_18_5536C10511G72_5536C10511G72_1;Part_1_20_5536C10514G70_5536C10514G70_1,5536C10511G72 5号肋;5536C10514G70 角片,38.418336098;5.704773088;-0.027993138,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
192,Task_安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_安装紧固件,安装紧固件,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C10511G72 5号肋;5536C11008G41 右侧3号夹芯板,38.657023582;5.862179067;-0.056400878,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
193,Task_安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,安装紧固件_Part_1_18_5536C10511G72_5536C10511G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_安装紧固件,安装紧固件,Part_1_18_5536C10511G72_5536C10511G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C10511G72 5号肋;5536C11007G41 左侧3号夹芯板,38.657023582;5.862179067;0.056395775,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
194,Task_安装紧固件_Part_1_43_5536C14010G71_5536C14010G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,安装紧固件_Part_1_43_5536C14010G71_5536C14010G72_1_SubAssembly_1_32_5536C11008G41_5536C11008G41,PROC_安装紧固件,安装紧固件,Part_1_43_5536C14010G71_5536C14010G72_1;SubAssembly_1_32_5536C11008G41_5536C11008G41,5536C14010G71 5号连接带板;5536C11008G41 右侧3号夹芯板,38.921214056;6.110605112;-0.118383106,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
195,Task_安装紧固件_Part_1_42_5536C14009G71_5536C14009G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,安装紧固件_Part_1_42_5536C14009G71_5536C14009G72_1_SubAssembly_1_31_5536C11007G41_5536C11007G41,PROC_安装紧固件,安装紧固件,Part_1_42_5536C14009G71_5536C14009G72_1;SubAssembly_1_31_5536C11007G41_5536C11007G41,5536C14009G71 5号连接带板;5536C11007G41 左侧3号夹芯板,38.921214056;6.110605112;0.118383106,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
196,Task_安装紧固件_Part_1_21_5536C10603G71_5536C10603G71_1_Part_1_22_5536C10611G72_5536C10611G72_1,安装紧固件_Part_1_21_5536C10603G71_5536C10603G71_1_Part_1_22_5536C10611G72_5536C10611G72_1,PROC_安装紧固件,安装紧固件,Part_1_21_5536C10603G71_5536C10603G71_1;Part_1_22_5536C10611G72_5536C10611G72_1,5536C10603G71 6号肋角材;5536C10611G72 6号肋,39.407126492;6.729302456;-1.439e-06,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
197,Task_安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_23_5536C10613G70_5536C10613G70_1,安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_23_5536C10613G70_5536C10613G70_1,PROC_安装紧固件,安装紧固件,Part_1_22_5536C10611G72_5536C10611G72_1;Part_1_23_5536C10613G70_5536C10613G70_1,5536C10611G72 6号肋;5536C10613G70 角片,39.286615933;6.820983567;0.015553826,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
198,Task_安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_24_5536C10614G70_5536C10614G70_1,安装紧固件_Part_1_22_5536C10611G72_5536C10611G72_1_Part_1_24_5536C10614G70_5536C10614G70_1,PROC_安装紧固件,安装紧固件,Part_1_22_5536C10611G72_5536C10611G72_1;Part_1_24_5536C10614G70_5536C10614G70_1,5536C10611G72 6号肋;5536C10614G70 角片,39.286615933;6.820983567;-0.015556704,铆接工具,connect_and_both_require_fastener_install,两端对象存在 connect，且两端都 requireProcess 安装紧固件，因此生成紧固任务。
